payment_id,order_id,payment_method,payment_status,amount,payment_datetime
1,1,gift_card,paid,256.49,2024-10-12 01:21:23
2,2,bank_transfer,paid,1103.11,2025-05-24 02:37:45
3,3,gift_card,paid,720.19,2025-12-22 09:53:27
4,4,google_pay,paid,2081.10,2023-08-27 22:14:59
5,5,paypal,paid,468.00,2025-12-16 12:15:04
6,6,paypal,paid,627.50,2024-10-02 03:27:04
7,7,bank_transfer,paid,971.35,2024-07-21 18:10:00
8,8,gift_card,paid,1020.50,2024-04-03 21:15:02
9,9,bank_transfer,paid,2894.11,2025-02-10 06:49:20
10,10,gift_card,paid,1291.56,2023-07-13 11:14:51
11,11,google_pay,paid,2115.35,2024-09-07 10:19:46
12,12,google_pay,paid,471.63,2024-01-01 10:10:42
13,13,paypal,paid,1728.39,2023-05-15 20:29:50
14,14,google_pay,paid,1086.28,2024-03-07 08:38:22
15,15,apple_pay,paid,242.09,2023-03-21 12:37:22
16,16,gift_card,paid,3261.82,2024-07-02 09:48:25
17,17,gift_card,paid,459.80,2023-03-25 15:05:07
18,18,bank_transfer,paid,783.48,2023-06-11 05:57:38
19,19,apple_pay,paid,815.71,2025-03-16 19:34:19
20,20,paypal,failed,0.00,2023-02-08 03:32:58
21,21,paypal,paid,476.14,2025-03-07 00:40:12
22,22,gift_card,partially_refunded,1672.29,2025-09-02 09:33:37
23,23,paypal,authorized,698.82,2024-10-09 14:03:06
24,24,gift_card,paid,351.32,2023-11-14 02:58:12
25,25,apple_pay,paid,851.91,2023-06-26 17:31:12
26,26,paypal,paid,423.36,2024-02-04 13:43:14
27,27,bank_transfer,paid,673.35,2023-07-17 15:12:33
28,28,paypal,paid,903.80,2025-05-13 02:17:09
29,29,google_pay,paid,1269.45,2024-01-13 02:40:06
30,30,gift_card,paid,463.71,2024-05-12 06:37:09
31,31,gift_card,paid,707.24,2023-01-27 20:17:37
32,32,bank_transfer,paid,1438.84,2024-07-11 07:31:16
33,33,credit_card,failed,0.00,2025-07-25 03:32:59
34,34,credit_card,paid,1162.49,2023-08-12 17:58:57
35,35,apple_pay,paid,936.06,2024-11-09 12:17:46
36,36,paypal,paid,1998.63,2023-05-13 13:41:41
37,37,apple_pay,paid,740.17,2025-08-01 13:17:36
38,38,google_pay,paid,79.54,2025-09-07 20:18:43
39,39,bank_transfer,paid,1687.16,2025-10-31 05:36:18
40,40,paypal,paid,533.15,2023-11-17 11:59:58
41,41,bank_transfer,paid,299.09,2025-12-13 08:33:48
42,42,bank_transfer,paid,32.45,2024-08-30 09:16:35
43,43,gift_card,paid,780.27,2023-02-03 02:34:38
44,44,google_pay,paid,470.47,2025-11-30 12:12:20
45,45,gift_card,paid,1598.54,2024-10-16 13:12:28
46,46,google_pay,partially_refunded,741.84,2023-05-25 01:55:07
47,47,bank_transfer,paid,771.10,2023-03-29 12:10:19
48,48,google_pay,paid,692.30,2024-10-03 10:27:01
49,49,gift_card,paid,372.59,2023-10-24 00:32:32
50,50,gift_card,paid,343.67,2025-02-05 08:37:16
51,51,bank_transfer,paid,433.21,2023-06-27 22:06:41
52,52,gift_card,paid,348.54,2024-01-25 01:27:13
53,53,gift_card,paid,1315.04,2025-04-27 19:01:45
54,54,credit_card,paid,963.09,2025-04-15 18:32:06
55,55,credit_card,refunded,554.51,2023-04-24 21:15:09
56,56,credit_card,paid,551.09,2025-01-07 19:40:31
57,57,apple_pay,paid,270.83,2023-11-06 23:53:37
58,58,google_pay,partially_refunded,913.39,2025-05-11 10:14:46
59,59,gift_card,failed,0.00,2024-03-20 15:26:12
60,60,credit_card,failed,0.00,2024-12-24 16:36:08
61,61,gift_card,paid,1086.27,2025-08-16 02:26:40
62,62,google_pay,paid,331.21,2025-05-25 23:55:12
63,63,bank_transfer,authorized,242.97,2025-05-25 11:44:50
64,64,gift_card,paid,2164.75,2023-04-05 20:54:28
65,65,gift_card,partially_refunded,525.66,2025-01-05 20:25:51
66,66,google_pay,paid,603.76,2023-10-25 17:29:06
67,67,apple_pay,paid,4326.86,2025-10-16 23:22:06
68,68,bank_transfer,paid,309.87,2023-12-30 00:25:03
69,69,apple_pay,paid,396.00,2025-03-18 20:41:13
70,70,gift_card,paid,199.68,2025-08-07 07:19:03
71,71,google_pay,paid,493.12,2023-06-16 08:47:15
72,72,gift_card,paid,1506.95,2024-09-17 13:37:41
73,73,bank_transfer,paid,220.31,2025-03-20 08:34:02
74,74,google_pay,paid,1113.28,2024-03-28 14:41:20
75,75,bank_transfer,refunded,1250.85,2025-09-05 09:26:12
76,76,google_pay,paid,122.46,2023-04-18 16:02:19
77,77,apple_pay,paid,722.27,2024-11-27 01:15:19
78,78,apple_pay,paid,1459.63,2023-09-03 17:56:53
79,79,bank_transfer,authorized,1730.67,2023-12-02 15:56:39
80,80,apple_pay,paid,1500.45,2025-08-21 03:16:04
81,81,google_pay,paid,543.47,2023-10-20 11:33:24
82,82,paypal,paid,141.94,2023-05-26 18:45:57
83,83,credit_card,paid,3210.62,2024-06-01 05:14:22
84,84,google_pay,paid,422.54,2025-04-22 18:05:53
85,85,gift_card,paid,298.85,2025-12-25 10:20:23
86,86,apple_pay,paid,147.26,2024-09-10 03:24:47
87,87,paypal,paid,1243.02,2023-07-21 07:53:02
88,88,google_pay,paid,1635.06,2025-05-05 22:24:21
89,89,paypal,paid,3124.60,2025-07-08 14:57:24
90,90,bank_transfer,paid,702.81,2024-10-03 16:42:37
91,91,apple_pay,paid,690.88,2025-01-12 17:51:10
92,92,gift_card,paid,285.80,2023-05-10 06:34:46
93,93,gift_card,paid,325.62,2025-05-10 22:30:20
94,94,paypal,paid,25.10,2025-03-03 11:31:27
95,95,google_pay,paid,1833.50,2025-06-03 21:41:24
96,96,bank_transfer,paid,321.53,2023-12-12 15:41:34
97,97,apple_pay,authorized,2924.79,2023-08-31 23:14:29
98,98,apple_pay,paid,729.34,2023-05-16 00:16:01
99,99,bank_transfer,paid,3126.00,2025-09-21 19:56:14
100,100,credit_card,paid,563.02,2025-03-27 21:09:31
101,101,gift_card,paid,943.76,2023-05-01 23:40:30
102,102,paypal,paid,2537.59,2023-04-14 17:12:32
103,103,bank_transfer,paid,188.77,2024-04-14 16:27:39
104,104,bank_transfer,paid,441.31,2024-02-21 12:40:18
105,105,credit_card,paid,679.41,2023-12-21 06:41:26
106,106,google_pay,paid,1169.21,2025-09-06 08:04:47
107,107,gift_card,paid,226.71,2025-02-04 02:36:57
108,108,apple_pay,paid,714.33,2024-07-28 05:44:40
109,109,credit_card,partially_refunded,269.66,2025-02-12 08:29:11
110,110,credit_card,paid,806.02,2024-04-13 14:11:24
111,111,apple_pay,paid,658.87,2024-01-16 03:16:35
112,112,apple_pay,paid,212.40,2024-12-02 00:53:45
113,113,bank_transfer,paid,448.99,2024-11-27 10:07:56
114,114,credit_card,paid,1162.72,2023-06-07 19:40:41
115,115,bank_transfer,paid,102.44,2024-10-17 09:56:56
116,116,gift_card,paid,1137.35,2024-03-31 15:24:14
117,117,apple_pay,paid,1108.00,2024-12-08 17:18:53
118,118,paypal,authorized,332.94,2025-07-12 06:45:47
119,119,bank_transfer,authorized,646.52,2024-12-13 11:48:58
120,120,bank_transfer,partially_refunded,1107.86,2023-08-09 22:26:41
121,121,credit_card,paid,2504.73,2024-02-04 05:30:25
122,122,paypal,paid,632.75,2025-05-25 03:23:07
123,123,bank_transfer,paid,954.26,2025-10-15 14:31:10
124,124,paypal,paid,641.26,2023-12-08 00:38:04
125,125,credit_card,paid,1021.92,2024-07-26 13:49:36
126,126,credit_card,paid,482.02,2024-09-19 23:09:56
127,127,apple_pay,failed,0.00,2025-05-09 19:33:42
128,128,bank_transfer,paid,2584.95,2024-03-24 06:49:47
129,129,google_pay,paid,84.03,2024-11-20 09:14:02
130,130,google_pay,paid,1632.78,2023-07-23 19:59:53
131,131,bank_transfer,paid,1150.72,2025-11-11 03:04:35
132,132,credit_card,paid,2050.27,2023-07-16 05:09:41
133,133,apple_pay,failed,0.00,2025-09-04 12:13:03
134,134,gift_card,paid,4156.61,2024-03-10 15:55:10
135,135,apple_pay,paid,674.38,2024-12-29 12:03:42
136,136,apple_pay,paid,48.19,2023-07-06 02:23:01
137,137,paypal,failed,0.00,2024-07-12 05:11:17
138,138,gift_card,paid,221.19,2023-12-14 01:40:21
139,139,google_pay,paid,557.88,2024-07-05 02:56:09
140,140,apple_pay,paid,651.06,2025-08-30 06:45:14
141,141,paypal,paid,1210.02,2023-09-06 13:24:55
142,142,credit_card,paid,570.13,2025-11-03 20:41:07
143,143,paypal,failed,0.00,2023-10-08 06:06:35
144,144,credit_card,paid,1693.30,2023-12-18 17:51:32
145,145,gift_card,paid,924.47,2025-11-26 23:55:04
146,146,google_pay,refunded,4000.79,2024-01-15 23:28:09
147,147,credit_card,paid,3748.55,2023-12-29 19:16:56
148,148,bank_transfer,paid,1498.21,2023-06-10 20:56:08
149,149,credit_card,paid,788.13,2024-03-04 18:34:29
150,150,bank_transfer,paid,353.66,2025-04-25 01:50:58
151,151,gift_card,partially_refunded,431.36,2024-02-01 15:04:40
152,152,apple_pay,paid,1551.88,2025-12-30 05:11:04
153,153,google_pay,paid,612.87,2024-03-15 12:48:36
154,154,credit_card,paid,305.72,2023-01-14 19:31:24
155,155,gift_card,paid,1849.77,2024-12-26 03:09:52
156,156,google_pay,paid,1897.52,2024-12-23 08:33:57
157,157,apple_pay,paid,430.82,2025-09-21 04:38:08
158,158,google_pay,paid,1008.54,2023-12-19 23:06:27
159,159,bank_transfer,failed,0.00,2023-07-01 00:24:07
160,160,paypal,paid,2391.03,2023-03-19 23:00:08
161,161,google_pay,paid,113.12,2024-09-26 16:24:44
162,162,paypal,paid,811.61,2023-11-15 09:01:55
163,163,apple_pay,paid,1333.17,2023-10-09 21:46:46
164,164,paypal,paid,1740.77,2023-12-01 05:09:25
165,165,paypal,paid,1158.13,2025-11-24 08:30:06
166,166,apple_pay,paid,1014.06,2023-12-28 16:29:21
167,167,bank_transfer,paid,571.62,2025-10-26 20:55:31
168,168,apple_pay,paid,1314.83,2025-01-03 06:31:49
