ticket_id,customer_id,order_id,topic,ticket_status,priority,opened_datetime,closed_datetime,assigned_employee_id
1,7603,2,Account access,resolved,high,2025-06-04 09:47:45,2025-06-12 09:47:45,100
2,9257,7,Warranty claim,closed,low,2024-07-22 04:27:00,2024-08-03 04:27:00,96
3,4057,17,Product question,open,low,2023-05-07 22:06:07,,1
4,4351,27,Damaged item,closed,urgent,2023-08-18 08:27:33,2023-08-19 08:27:33,60
5,3485,28,Warranty claim,open,urgent,2025-05-30 01:23:09,2025-06-02 01:23:09,9
6,2096,29,Warranty claim,resolved,low,2024-02-24 16:59:06,2024-02-27 16:59:06,43
7,3192,33,Promo code,escalated,high,2025-08-25 18:57:59,2025-09-02 18:57:59,94
8,2425,35,Refund request,closed,low,2024-11-30 17:21:46,,36
9,5351,40,Product question,pending_customer,medium,2023-12-04 11:35:58,,9
10,160,45,Damaged item,open,medium,2024-11-17 12:09:28,2024-11-27 12:09:28,62
11,6490,46,Product question,open,medium,2023-05-28 20:47:07,2023-06-10 20:47:07,13
12,1646,49,Warranty claim,closed,low,2023-11-14 01:34:32,2023-11-27 01:34:32,103
13,6876,50,Damaged item,resolved,medium,2025-03-10 12:51:16,2025-03-22 12:51:16,12
14,2430,61,Delivery delay,escalated,high,2025-08-20 23:14:40,2025-08-26 23:14:40,16
15,8243,66,Product question,escalated,high,2023-10-25 21:03:06,2023-11-01 21:03:06,97
16,3,73,Delivery delay,closed,medium,2025-04-25 16:27:02,2025-04-25 16:27:02,38
17,8407,74,Promo code,escalated,high,2024-05-02 11:11:20,2024-05-10 11:11:20,32
18,4992,75,Damaged item,closed,low,2025-09-04 14:32:12,2025-09-15 14:32:12,114
19,8179,77,Delivery delay,resolved,medium,2024-12-10 21:12:19,2024-12-17 21:12:19,116
20,7189,78,Delivery delay,closed,low,2023-09-30 14:10:53,2023-10-06 14:10:53,32
21,5974,81,Promo code,escalated,medium,2023-10-26 11:19:24,2023-11-04 11:19:24,29
22,4064,86,Delivery delay,resolved,medium,2024-09-29 02:39:47,2024-10-06 02:39:47,8
23,2531,92,Damaged item,resolved,low,2023-06-18 23:35:46,2023-06-26 23:35:46,33
24,952,94,Refund request,escalated,low,2025-03-07 03:51:27,2025-03-19 03:51:27,12
25,8068,95,Account access,pending_customer,high,2025-06-11 15:21:24,2025-06-25 15:21:24,65
26,702,96,Payment issue,open,medium,2024-01-18 00:10:34,2024-01-18 00:10:34,8
27,6710,99,Account access,open,medium,2025-10-06 09:56:14,2025-10-14 09:56:14,120
28,2210,100,Promo code,resolved,medium,2025-05-04 03:16:31,2025-05-14 03:16:31,104
29,2959,102,Product question,resolved,high,2023-05-07 22:42:32,2023-05-13 22:42:32,5
30,7621,104,Product question,pending_customer,high,2024-03-28 06:30:18,2024-03-29 06:30:18,38
31,7180,114,Product question,closed,medium,2023-06-25 15:08:41,2023-06-26 15:08:41,84
32,9917,120,Payment issue,closed,low,2023-08-21 07:46:41,2023-08-23 07:46:41,113
33,1335,122,Product question,pending_customer,high,2025-05-27 04:10:07,2025-06-04 04:10:07,33
34,2074,125,Promo code,resolved,urgent,2024-07-30 19:40:36,2024-08-07 19:40:36,83
35,767,132,Damaged item,closed,high,2023-08-14 14:27:41,2023-08-28 14:27:41,81
