customer_id,acquisition_channel,customer_segment,recency_days,frequency,monetary,rfm_segment
2340,email,New,116,6,5141.51,Loyal
7603,organic_search,Regular,223,3,1796.82,Developing
9570,marketplace,Regular,10,6,5995.42,Champions
374,organic_search,Regular,250,5,7545.26,Developing
1987,organic_search,VIP,17,4,2632.37,Loyal
327,social_media,Wholesale,204,4,5223.46,Developing
9257,marketplace,Regular,316,4,4621.64,Developing
7579,paid_search,VIP,638,2,1751.85,Dormant
4025,paid_search,At Risk,26,6,9287.25,Champions
5290,email,New,28,7,3894.20,Champions
5716,paid_search,Regular,481,3,3181.24,Dormant
9096,referral,Regular,731,2,1778.54,Dormant
6257,organic_search,Regular,291,4,1052.48,Developing
7618,referral,New,234,4,5254.55,Developing
4057,paid_search,New,782,5,3266.42,Dormant
4064,paid_search,Regular,51,5,5402.50,Champions
2680,marketplace,VIP,143,7,8484.47,Developing
4220,marketplace,Regular,532,4,3079.03,Dormant
9875,organic_search,New,83,4,7162.82,Loyal
4889,direct,Regular,124,8,8138.79,Developing
1240,affiliate,At Risk,709,5,4170.02,Dormant
347,paid_search,Regular,697,4,3043.31,Dormant
4351,marketplace,Regular,174,7,6929.88,Developing
3485,social_media,VIP,51,4,6439.11,Loyal
2096,direct,Regular,95,6,8156.27,Loyal
9481,social_media,VIP,39,5,1955.63,Champions
6375,marketplace,New,68,5,5505.84,Loyal
504,referral,Wholesale,115,7,7387.39,Loyal
4136,marketplace,Regular,135,5,4136.19,Developing
2425,organic_search,Regular,114,4,2918.37,Loyal
6065,referral,Regular,302,4,3495.63,Developing
2055,affiliate,New,149,3,1978.64,Developing
6745,email,Wholesale,116,6,8810.83,Loyal
8848,direct,Regular,63,4,3968.85,Loyal
5351,marketplace,Regular,258,5,9612.40,Developing
8430,affiliate,New,12,7,6690.82,Champions
8162,marketplace,Regular,129,4,3011.84,Developing
7007,marketplace,New,54,6,5775.54,Champions
3171,organic_search,At Risk,21,8,12687.44,Champions
160,paid_search,Regular,117,4,6678.06,Loyal
2936,marketplace,Regular,67,5,3836.58,Loyal
7336,social_media,New,368,3,2019.87,Dormant
1646,marketplace,New,319,3,3086.34,Developing
6876,affiliate,Regular,61,6,6302.57,Loyal
5512,paid_search,New,137,8,6476.76,Developing
2271,email,At Risk,69,13,17039.85,Loyal
5819,paid_search,Regular,156,3,1770.10,Developing
2229,social_media,New,174,6,5458.52,Developing
5165,organic_search,At Risk,983,2,3881.88,Dormant
2538,social_media,New,498,7,6780.90,Dormant
2430,affiliate,VIP,139,3,1312.15,Developing
3994,referral,Regular,221,3,1994.52,Developing
4022,direct,New,3,4,5607.10,Loyal
8461,direct,Regular,246,4,1923.91,Developing
8243,marketplace,Regular,302,6,4882.40,Developing
5315,direct,Regular,77,6,6623.57,Loyal
1790,affiliate,VIP,206,8,5259.80,Developing
109,referral,Regular,289,4,3181.29,Developing
6662,paid_search,At Risk,147,5,4564.66,Developing
5337,referral,Regular,53,4,1664.34,Loyal
2137,paid_search,At Risk,85,7,8769.46,Loyal
3,direct,Regular,30,5,3315.51,Champions
8407,affiliate,New,315,4,1699.27,Developing
4595,referral,New,84,5,4468.17,Loyal
8179,email,New,137,10,11550.47,Developing
7189,organic_search,Regular,573,3,2073.69,Dormant
3839,direct,Wholesale,134,6,6920.05,Developing
5974,organic_search,VIP,31,9,7722.12,Champions
7989,paid_search,Regular,40,9,6401.76,Champions
5534,paid_search,VIP,57,4,5736.36,Loyal
9824,paid_search,VIP,61,7,6357.73,Loyal
2367,affiliate,New,8,5,5207.21,Champions
6884,referral,New,8,6,5589.03,Champions
9423,organic_search,Wholesale,177,3,5611.91,Developing
7242,social_media,New,455,1,702.81,Dormant
5024,email,New,130,7,6805.60,Developing
2531,affiliate,At Risk,968,1,285.80,Dormant
63,paid_search,New,236,3,2784.14,Developing
952,referral,VIP,156,7,5553.64,Developing
702,direct,Regular,255,3,831.85,Developing
1755,marketplace,Regular,455,5,6469.97,Dormant
6710,direct,Regular,102,8,7865.38,Loyal
2210,marketplace,New,280,2,1669.80,Developing
5342,referral,New,548,5,4227.85,Dormant
2959,organic_search,New,91,6,8655.03,Loyal
7514,referral,Regular,174,2,1145.19,Developing
