order_month,sales_channel,orders,revenue,avg_order_value
2023-01-01,marketplace,283,304425.55,1075.71
2023-01-01,mobile_app,250,255531.42,1022.13
2023-01-01,phone,259,255637.76,987.02
2023-01-01,retail_partner,264,246729.62,934.58
2023-01-01,website,214,213314.99,996.80
2023-02-01,marketplace,213,213020.52,1000.10
2023-02-01,mobile_app,209,229305.66,1097.16
2023-02-01,phone,219,205980.34,940.55
2023-02-01,retail_partner,209,196981.40,942.49
2023-02-01,website,235,239503.55,1019.16
2023-03-01,marketplace,240,258104.01,1075.43
2023-03-01,mobile_app,227,231992.44,1021.99
2023-03-01,phone,246,243493.00,989.81
2023-03-01,retail_partner,256,258292.18,1008.95
2023-03-01,website,231,240861.84,1042.69
2023-04-01,marketplace,227,247874.66,1091.96
2023-04-01,mobile_app,245,252900.01,1032.24
2023-04-01,phone,223,229488.12,1029.09
2023-04-01,retail_partner,230,222928.53,969.25
2023-04-01,website,238,222125.08,933.30
2023-05-01,marketplace,246,221454.40,900.22
2023-05-01,mobile_app,242,248836.86,1028.25
2023-05-01,phone,246,258757.68,1051.86
2023-05-01,retail_partner,233,237440.43,1019.06
2023-05-01,website,238,219988.13,924.32
2023-06-01,marketplace,208,200723.76,965.02
2023-06-01,mobile_app,226,193060.24,854.25
2023-06-01,phone,226,201943.79,893.56
2023-06-01,retail_partner,234,249005.21,1064.12
2023-06-01,website,230,241895.85,1051.72
2023-07-01,marketplace,248,234731.39,946.50
2023-07-01,mobile_app,240,252510.31,1052.13
2023-07-01,phone,232,227442.02,980.35
2023-07-01,retail_partner,265,261700.83,987.55
2023-07-01,website,214,202675.00,947.08
2023-08-01,marketplace,255,246877.11,968.15
2023-08-01,mobile_app,244,224819.75,921.39
2023-08-01,phone,247,260755.09,1055.69
2023-08-01,retail_partner,203,213004.05,1049.28
2023-08-01,website,242,256322.59,1059.18
2023-09-01,marketplace,231,224866.83,973.45
2023-09-01,mobile_app,209,192026.06,918.78
2023-09-01,phone,231,224540.74,972.04
2023-09-01,retail_partner,225,211862.46,941.61
2023-09-01,website,221,251531.36,1138.15
2023-10-01,marketplace,242,240126.64,992.26
2023-10-01,mobile_app,258,233079.20,903.41
2023-10-01,phone,215,221339.58,1029.49
2023-10-01,retail_partner,238,243349.20,1022.48
2023-10-01,website,244,227376.32,931.87
2023-11-01,marketplace,237,246499.66,1040.08
2023-11-01,mobile_app,213,235626.46,1106.23
2023-11-01,phone,244,234603.49,961.49
2023-11-01,retail_partner,246,235877.02,958.85
2023-11-01,website,228,244078.35,1070.52
2023-12-01,marketplace,239,212625.64,889.65
2023-12-01,mobile_app,258,254274.44,985.56
2023-12-01,phone,245,235694.26,962.02
2023-12-01,retail_partner,258,274440.64,1063.72
2023-12-01,website,245,238532.86,973.60
2024-01-01,marketplace,251,260258.49,1036.89
2024-01-01,mobile_app,254,222839.62,877.32
2024-01-01,phone,244,237938.35,975.16
2024-01-01,retail_partner,240,251054.10,1046.06
2024-01-01,website,261,264052.15,1011.69
2024-02-01,marketplace,242,247240.19,1021.65
2024-02-01,mobile_app,221,217920.33,986.06
2024-02-01,phone,238,209650.12,880.88
2024-02-01,retail_partner,232,235162.66,1013.63
2024-02-01,website,230,227149.31,987.61
2024-03-01,marketplace,225,203022.84,902.32
2024-03-01,mobile_app,230,209104.34,909.15
2024-03-01,phone,242,242318.94,1001.32
2024-03-01,retail_partner,216,205848.31,953.00
2024-03-01,website,208,191790.03,922.07
2024-04-01,marketplace,212,223006.68,1051.92
2024-04-01,mobile_app,209,203937.74,975.78
2024-04-01,phone,218,229719.65,1053.76
2024-04-01,retail_partner,230,201359.68,875.48
2024-04-01,website,244,256295.83,1050.39
2024-05-01,marketplace,232,222118.73,957.41
2024-05-01,mobile_app,252,246042.37,976.36
2024-05-01,phone,244,227506.13,932.40
2024-05-01,retail_partner,230,213570.66,928.57
2024-05-01,website,239,254373.16,1064.32
2024-06-01,marketplace,257,253921.56,988.02
2024-06-01,mobile_app,242,238722.66,986.46
2024-06-01,phone,261,241154.76,923.96
2024-06-01,retail_partner,211,200245.21,949.03
2024-06-01,website,248,243652.63,982.47
2024-07-01,marketplace,240,238491.07,993.71
2024-07-01,mobile_app,254,249588.82,982.63
2024-07-01,phone,236,229278.23,971.52
2024-07-01,retail_partner,254,244937.63,964.32
2024-07-01,website,265,280240.08,1057.51
2024-08-01,marketplace,229,227056.90,991.51
2024-08-01,mobile_app,228,226219.18,992.19
2024-08-01,phone,235,232827.73,990.76
2024-08-01,retail_partner,234,231361.87,988.73
2024-08-01,website,202,198075.38,980.57
2024-09-01,marketplace,240,256632.22,1069.30
2024-09-01,mobile_app,260,255852.29,984.05
2024-09-01,phone,247,238601.78,966.00
2024-09-01,retail_partner,214,213045.00,995.54
2024-09-01,website,256,255811.41,999.26
2024-10-01,marketplace,260,263284.69,1012.63
2024-10-01,mobile_app,233,217946.69,935.39
2024-10-01,phone,222,205780.80,926.94
2024-10-01,retail_partner,248,236442.15,953.40
2024-10-01,website,241,269238.78,1117.17
2024-11-01,marketplace,238,229878.70,965.88
2024-11-01,mobile_app,237,235271.34,992.71
2024-11-01,phone,251,239592.74,954.55
2024-11-01,retail_partner,224,224638.29,1002.85
2024-11-01,website,240,255831.63,1065.97
2024-12-01,marketplace,218,236189.31,1083.44
2024-12-01,mobile_app,211,214174.46,1015.04
2024-12-01,phone,263,269975.80,1026.52
2024-12-01,retail_partner,224,217003.79,968.77
2024-12-01,website,232,218526.91,941.93
2025-01-01,marketplace,247,238723.56,966.49
2025-01-01,mobile_app,244,227527.08,932.49
2025-01-01,phone,237,209314.13,883.18
2025-01-01,retail_partner,231,200953.63,869.93
2025-01-01,website,241,260304.22,1080.10
2025-02-01,marketplace,194,179901.46,927.33
2025-02-01,mobile_app,194,186886.61,963.33
2025-02-01,phone,242,250338.53,1034.46
2025-02-01,retail_partner,195,199159.65,1021.33
2025-02-01,website,218,205429.78,942.34
2025-03-01,marketplace,288,276733.37,960.88
2025-03-01,mobile_app,242,246362.72,1018.03
2025-03-01,phone,248,229162.47,924.04
2025-03-01,retail_partner,220,220256.24,1001.16
2025-03-01,website,243,249322.35,1026.02
2025-04-01,marketplace,239,206772.25,865.16
2025-04-01,mobile_app,245,222389.48,907.71
2025-04-01,phone,226,212121.94,938.59
2025-04-01,retail_partner,215,206468.75,960.32
2025-04-01,website,227,228978.70,1008.72
2025-05-01,marketplace,232,238366.84,1027.44
2025-05-01,mobile_app,227,215653.78,950.02
2025-05-01,phone,239,240670.99,1006.99
2025-05-01,retail_partner,265,247918.45,935.54
2025-05-01,website,238,255861.79,1075.05
2025-06-01,marketplace,209,189396.33,906.20
2025-06-01,mobile_app,232,244241.56,1052.77
2025-06-01,phone,225,216473.56,962.10
2025-06-01,retail_partner,229,230499.46,1006.55
2025-06-01,website,242,252324.96,1042.67
2025-07-01,marketplace,240,220470.93,918.63
2025-07-01,mobile_app,245,226532.68,924.62
2025-07-01,phone,231,216223.35,936.03
2025-07-01,retail_partner,226,229810.60,1016.86
2025-07-01,website,255,248072.12,972.83
2025-08-01,marketplace,222,224585.49,1011.65
2025-08-01,mobile_app,253,246795.60,975.48
2025-08-01,phone,230,234204.23,1018.28
2025-08-01,retail_partner,247,239557.18,969.87
2025-08-01,website,205,182274.78,889.15
2025-09-01,marketplace,218,206751.97,948.40
2025-09-01,mobile_app,232,225515.39,972.05
2025-09-01,phone,231,209330.63,906.19
2025-09-01,retail_partner,253,251748.72,995.05
2025-09-01,website,236,231142.69,979.42
2025-10-01,marketplace,249,260008.57,1044.21
2025-10-01,mobile_app,243,242693.62,998.74
2025-10-01,phone,261,266047.85,1019.34
2025-10-01,retail_partner,246,248607.91,1010.60
2025-10-01,website,230,220018.79,956.60
2025-11-01,marketplace,256,246678.59,963.59
2025-11-01,mobile_app,249,253028.71,1016.18
2025-11-01,phone,228,224470.08,984.52
2025-11-01,retail_partner,254,254775.45,1003.05
2025-11-01,website,243,229869.52,945.97
2025-12-01,marketplace,238,220825.55,927.84
2025-12-01,mobile_app,234,223670.15,955.86
2025-12-01,phone,244,221605.36,908.22
2025-12-01,retail_partner,242,274795.42,1135.52
2025-12-01,website,248,239203.88,964.53
