return_id,order_id,customer_id,return_reason,return_status,refund_amount,return_date
1,2,7603,Not as described,received,306.38,2025-08-17
2,21,9875,Not as described,refunded,433.86,2025-04-29
3,25,1240,Too large,requested,470.03,2023-08-05
4,26,347,Too large,refunded,193.32,2024-03-22
5,43,7007,Changed mind,refunded,531.20,2023-04-16
6,54,2229,Wrong item,refunded,303.49,2025-04-22
7,116,2056,Arrived late,received,186.66,2024-06-27
8,132,767,Wrong item,refunded,1892.88,2023-10-02
9,137,3550,Arrived late,refunded,611.26,2024-07-24
10,154,2831,Not as described,rejected,265.73,2023-02-16
11,166,7681,Changed mind,approved,269.77,2024-02-10
12,168,5022,Not as described,received,255.49,2025-03-09
13,203,6327,Too large,refunded,299.48,2024-07-02
14,243,1971,Damaged,refunded,537.37,2024-08-10
15,247,7388,Arrived late,rejected,2132.29,2024-10-27
16,258,6230,Arrived late,refunded,344.40,2023-02-26
17,284,4361,Changed mind,received,947.88,2024-04-26
18,288,4495,Wrong item,refunded,1757.72,2023-04-14
19,290,5423,Changed mind,refunded,123.92,2023-11-14
20,311,3193,Arrived late,requested,175.87,2024-12-12
21,334,4580,Too large,refunded,255.47,2025-03-17
22,336,9214,Changed mind,received,234.46,2025-09-30
23,363,7948,Changed mind,received,17.94,2025-01-11
24,377,3836,Changed mind,refunded,790.09,2024-05-10
25,379,8781,Damaged,received,189.58,2024-05-29
26,387,9417,Damaged,received,1230.85,2024-07-05
27,420,1154,Wrong item,received,447.49,2023-04-28
28,425,5551,Changed mind,received,42.84,2025-05-27
29,432,5790,Damaged,received,4150.99,2024-05-29
30,449,2050,Too small,refunded,2392.80,2025-02-28
31,453,3656,Changed mind,approved,1371.75,2024-01-15
32,456,8614,Wrong item,rejected,1639.70,2024-06-14
33,479,8047,Too large,refunded,1658.26,2024-06-24
34,485,3752,Damaged,refunded,207.18,2024-07-05
35,498,78,Changed mind,received,252.48,2023-10-17
36,511,9357,Too small,refunded,1339.64,2025-05-16
37,517,4258,Not as described,requested,170.48,2024-09-16
38,522,1529,Too large,approved,334.84,2024-06-16
39,533,3878,Too large,refunded,64.36,2024-10-03
40,587,5191,Arrived late,received,190.26,2023-07-14
41,595,7883,Damaged,refunded,126.07,2023-06-17
42,606,8334,Wrong item,approved,35.59,2024-07-02
43,609,3118,Not as described,received,755.21,2023-03-04
44,615,1126,Not as described,refunded,381.53,2025-01-30
45,622,2492,Too large,refunded,212.08,2025-12-20
46,630,2381,Not as described,approved,624.13,2023-09-19
47,631,4276,Damaged,requested,441.42,2024-01-16
48,640,6564,Too small,approved,335.53,2024-04-15
49,642,2140,Too large,refunded,525.01,2023-04-02
50,674,7440,Wrong item,received,91.91,2024-12-21
51,682,6147,Wrong item,received,692.38,2025-11-24
52,695,1668,Damaged,received,57.64,2025-10-20
53,737,4942,Wrong item,approved,1135.25,2026-01-25
54,738,2068,Wrong item,refunded,58.82,2025-04-14
55,741,897,Arrived late,approved,206.53,2025-11-12
56,772,5491,Wrong item,refunded,115.31,2023-12-20
57,776,964,Changed mind,approved,556.78,2026-03-06
58,778,1177,Arrived late,requested,229.37,2025-08-06
59,804,936,Arrived late,received,187.95,2023-04-07
60,834,1228,Damaged,rejected,1625.31,2025-04-26
61,841,3533,Too small,requested,1124.84,2025-08-21
62,864,6164,Too small,refunded,88.29,2023-10-16
63,869,1057,Not as described,approved,739.63,2025-01-10
64,872,1540,Not as described,refunded,282.62,2026-01-02
65,881,8203,Too small,refunded,152.91,2025-03-21
66,940,38,Damaged,rejected,154.38,2024-12-26
67,960,1866,Too small,rejected,604.75,2023-12-22
68,977,4971,Not as described,refunded,56.05,2025-09-30
69,999,8140,Damaged,received,192.28,2024-12-23
70,1000,6045,Arrived late,rejected,304.87,2023-09-08
71,1011,6603,Arrived late,approved,1513.86,2024-06-24
72,1020,6704,Not as described,approved,84.15,2024-01-11
73,1024,3591,Wrong item,requested,723.84,2023-04-18
74,1038,7601,Damaged,received,194.86,2025-11-21
75,1071,6122,Arrived late,refunded,7.94,2025-08-30
76,1072,6720,Too small,approved,412.96,2025-09-21
77,1076,1222,Damaged,refunded,48.73,2025-08-13
78,1082,9022,Wrong item,refunded,22.40,2024-01-19
79,1089,4541,Changed mind,refunded,280.22,2024-08-14
80,1117,935,Changed mind,approved,157.05,2025-01-09
81,1135,8796,Damaged,requested,221.00,2023-12-22
82,1180,7310,Too large,received,125.32,2023-04-12
83,1245,5435,Too small,approved,750.53,2025-08-03
84,1259,518,Too small,refunded,1341.48,2024-10-31
85,1267,5701,Changed mind,rejected,535.45,2024-06-16
86,1277,1101,Too large,requested,138.71,2024-06-11
87,1282,4755,Not as described,refunded,532.28,2024-08-17
88,1295,226,Wrong item,refunded,191.99,2023-04-24
89,1316,7461,Wrong item,requested,58.82,2024-12-16
