shipment_id,order_id,warehouse_id,shipping_method,carrier,shipped_datetime,delivered_datetime,shipment_status
1,1,1,overnight,UPS,2024-10-13 08:07:23,,delivered
2,2,6,expedited,UPS,2025-05-25 09:47:45,2025-06-03 09:47:45,delivered
3,3,5,expedited,FedEx,2025-12-22 08:11:27,2025-12-29 08:11:27,in_transit
4,4,8,expedited,FedEx,2023-08-28 00:35:59,2023-09-03 00:35:59,delivered
5,5,5,pickup,USPS,2025-12-15 17:18:04,2025-12-19 17:18:04,delivered
6,6,3,overnight,UPS,2024-10-03 16:38:04,2024-10-05 16:38:04,delivered
7,7,7,standard,USPS,2024-07-21 04:27:00,2024-07-31 04:27:00,delivered
8,8,5,expedited,DHL,2024-04-03 05:33:02,,delivered
9,9,7,expedited,FedEx,2025-02-10 03:15:20,2025-02-12 03:15:20,delivered
10,10,5,overnight,FedEx,2023-07-13 03:30:51,2023-07-20 03:30:51,in_transit
11,11,3,overnight,UPS,2024-09-09 03:38:46,2024-09-10 03:38:46,returned
12,12,3,standard,UPS,2024-01-01 04:39:42,2024-01-02 04:39:42,in_transit
13,15,5,pickup,USPS,2023-03-24 06:02:22,2023-04-01 06:02:22,delivered
14,16,4,standard,FedEx,2024-07-04 14:59:25,,delivered
15,17,2,pickup,FedEx,2023-03-25 22:06:07,,delivered
16,18,3,expedited,FedEx,2023-06-13 20:25:38,2023-06-16 20:25:38,delivered
17,19,7,pickup,UPS,2025-03-16 13:02:19,2025-03-19 13:02:19,delivered
18,20,5,standard,UPS,2023-02-10 14:46:58,2023-02-19 14:46:58,in_transit
19,21,3,expedited,FedEx,2025-03-07 01:00:12,2025-03-14 01:00:12,delivered
20,24,4,expedited,UPS,2023-11-16 19:29:12,,delivered
21,25,7,overnight,FedEx,2023-06-27 15:22:12,2023-07-03 15:22:12,in_transit
22,26,7,expedited,DHL,2024-02-05 07:37:14,2024-02-12 07:37:14,delivered
23,27,6,pickup,DHL,2023-07-19 08:27:33,2023-07-27 08:27:33,returned
24,28,5,standard,DHL,2025-05-15 01:23:09,2025-05-19 01:23:09,lost
25,29,3,standard,UPS,2024-01-12 16:59:06,2024-01-15 16:59:06,delivered
26,30,5,pickup,FedEx,2024-05-14 04:14:09,2024-05-19 04:14:09,delivered
27,31,6,overnight,DHL,2023-01-29 14:02:37,2023-02-03 14:02:37,delivered
28,32,6,pickup,DHL,2024-07-10 19:03:16,2024-07-17 19:03:16,in_transit
29,34,8,expedited,DHL,2023-08-13 00:48:57,2023-08-20 00:48:57,in_transit
30,35,7,standard,UPS,2024-11-11 17:21:46,2024-11-14 17:21:46,delivered
31,36,1,standard,DHL,2023-05-15 15:22:41,2023-05-19 15:22:41,delivered
32,37,1,pickup,FedEx,2025-08-03 07:36:36,2025-08-13 07:36:36,returned
33,38,3,pickup,DHL,2025-09-07 16:12:43,2025-09-13 16:12:43,delivered
34,39,4,overnight,FedEx,2025-10-31 10:16:18,2025-11-02 10:16:18,delivered
35,40,2,pickup,DHL,2023-11-19 11:35:58,2023-11-24 11:35:58,delivered
36,41,1,pickup,FedEx,2025-12-13 16:59:48,2025-12-17 16:59:48,in_transit
37,42,7,standard,FedEx,2024-08-29 23:35:35,,delivered
38,43,5,standard,DHL,2023-02-05 00:50:38,2023-02-15 00:50:38,delivered
39,44,6,overnight,DHL,2025-11-30 17:43:20,2025-12-08 17:43:20,delivered
40,45,6,standard,FedEx,2024-10-19 12:09:28,2024-10-21 12:09:28,delivered
41,47,3,standard,USPS,2023-03-29 15:08:19,2023-04-03 15:08:19,in_transit
42,48,8,standard,UPS,2024-10-05 07:40:01,2024-10-13 07:40:01,delivered
43,49,7,pickup,FedEx,2023-10-26 01:34:32,2023-10-28 01:34:32,delivered
44,50,5,standard,FedEx,2025-02-07 12:51:16,2025-02-16 12:51:16,returned
45,51,2,overnight,UPS,2023-06-27 16:31:41,2023-06-30 16:31:41,delivered
46,52,6,pickup,FedEx,2024-01-25 16:10:13,2024-01-28 16:10:13,delivered
47,53,6,expedited,DHL,2025-04-26 21:39:45,2025-04-28 21:39:45,delivered
48,54,5,pickup,USPS,2025-04-16 10:57:06,2025-04-25 10:57:06,delivered
49,55,1,standard,DHL,2023-04-25 05:09:09,2023-05-05 05:09:09,delivered
50,57,3,pickup,DHL,2023-11-09 07:38:37,2023-11-13 07:38:37,delivered
51,61,6,standard,DHL,2025-08-15 23:14:40,2025-08-19 23:14:40,delivered
52,62,3,pickup,UPS,2025-05-26 19:09:12,2025-06-03 19:09:12,delivered
53,64,2,overnight,UPS,2023-04-08 04:45:28,2023-04-14 04:45:28,delivered
54,65,4,expedited,USPS,2025-01-06 12:51:51,2025-01-14 12:51:51,delivered
55,66,1,pickup,DHL,2023-10-26 21:03:06,2023-11-01 21:03:06,delivered
56,67,6,pickup,FedEx,2025-10-16 19:09:06,2025-10-21 19:09:06,delivered
57,68,3,overnight,DHL,2024-01-01 22:22:03,2024-01-11 22:22:03,delivered
58,69,8,standard,USPS,2025-03-18 09:21:13,2025-03-19 09:21:13,delivered
59,70,2,expedited,USPS,2025-08-10 04:21:03,,delivered
60,71,1,standard,USPS,2023-06-16 14:46:15,2023-06-19 14:46:15,returned
61,72,1,pickup,DHL,2024-09-20 03:44:41,2024-09-27 03:44:41,in_transit
62,73,3,expedited,USPS,2025-03-20 16:27:02,,delivered
63,74,6,standard,FedEx,2024-03-31 11:11:20,2024-04-08 11:11:20,delivered
64,76,2,expedited,USPS,2023-04-19 20:49:19,2023-04-22 20:49:19,delivered
65,77,5,overnight,UPS,2024-11-28 21:12:19,2024-11-29 21:12:19,in_transit
66,78,3,expedited,USPS,2023-09-05 14:10:53,2023-09-15 14:10:53,delivered
67,80,8,pickup,USPS,2025-08-20 22:09:04,2025-08-22 22:09:04,delivered
68,81,2,overnight,USPS,2023-10-21 11:19:24,2023-10-25 11:19:24,delivered
69,82,1,pickup,FedEx,2023-05-29 06:22:57,2023-06-06 06:22:57,in_transit
70,83,7,standard,USPS,2024-06-02 00:49:22,2024-06-03 00:49:22,in_transit
71,84,2,pickup,DHL,2025-04-22 19:59:53,2025-04-29 19:59:53,delivered
72,85,3,pickup,DHL,2025-12-27 14:45:23,2026-01-01 14:45:23,delivered
73,86,3,expedited,DHL,2024-09-10 02:39:47,2024-09-18 02:39:47,delivered
74,87,4,expedited,UPS,2023-07-21 03:24:02,,delivered
75,88,2,expedited,USPS,2025-05-05 17:27:21,,in_transit
76,89,7,standard,DHL,2025-07-11 01:44:24,2025-07-18 01:44:24,in_transit
77,90,6,standard,FedEx,2024-10-04 14:40:37,2024-10-05 14:40:37,delivered
78,91,7,pickup,FedEx,2025-01-12 14:26:10,,delivered
79,92,5,expedited,USPS,2023-05-11 23:35:46,2023-05-21 23:35:46,returned
80,93,8,standard,USPS,2025-05-11 01:38:20,,in_transit
81,94,1,pickup,USPS,2025-03-04 03:51:27,2025-03-10 03:51:27,delivered
82,96,8,standard,UPS,2023-12-15 00:10:34,2023-12-17 00:10:34,delivered
83,98,8,pickup,USPS,2023-05-18 18:28:01,2023-05-20 18:28:01,in_transit
84,99,1,standard,USPS,2025-09-21 09:56:14,2025-09-23 09:56:14,delivered
85,100,6,overnight,FedEx,2025-03-27 03:16:31,2025-03-29 03:16:31,delivered
86,101,5,standard,USPS,2023-05-02 11:42:30,2023-05-12 11:42:30,delivered
